TYPE,DATE,START TIME,END TIME,USAGE (kWh),COST,NOTES
Electric usage,2024-03-07,00:00,00:59,7.68,$2.66
Electric usage,2024-03-07,01:00,01:59,7.70,$2.66
Electric usage,2024-03-07,02:00,02:59,7.33,$2.53
Electric usage,2024-03-07,03:00,03:59,0.45,$0.16
Electric usage,2024-03-07,04:00,04:59,0.45,$0.16
Electric usage,2024-03-07,05:00,05:59,0.43,$0.15
Electric usage,2024-03-07,06:00,06:59,0.45,$0.15
Electric usage,2024-03-07,07:00,07:59,1.48,$0.51
Electric usage,2024-03-07,08:00,08:59,2.68,$0.93
Electric usage,2024-03-07,09:00,09:59,0.46,$0.16
Electric usage,2024-03-07,10:00,10:59,0.46,$0.16
Electric usage,2024-03-07,11:00,11:59,0.49,$0.17
Electric usage,2024-03-07,12:00,12:59,0.47,$0.16
Electric usage,2024-03-07,13:00,13:59,0.44,$0.15
Electric usage,2024-03-07,14:00,14:59,0.45,$0.16
Electric usage,2024-03-07,15:00,15:59,0.45,$0.23
Electric usage,2024-03-07,16:00,16:59,0.48,$0.26
Electric usage,2024-03-07,17:00,17:59,0.47,$0.25
Electric usage,2024-03-07,18:00,18:59,1.16,$0.61
Electric usage,2024-03-07,19:00,19:59,2.67,$1.42
